Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
RNG,RINGCENTRAL INC CLASS A,Equity,1.47,258.43,"233,119.00","60,244,943.17","60,244,943.17",Information Technology,BDZCRX3,US76680R2067,New York Stock Exchange Inc.,United States,USD,USD,1
FTNT,FORTINET INC,Equity,1.46,135.92,"441,332.00","59,985,845.44","59,985,845.44",Information Technology,B5B2106,US34959E1091,NASDAQ,United States,USD,USD,1
DOCU,DOCUSIGN INC,Equity,1.34,141.92,"388,487.00","55,134,075.04","55,134,075.04",Information Technology,BFYT7B7,US2561631068,NASDAQ,United States,USD,USD,1
SNAP,SNAP INC CLASS A,Equity,1.25,21.09,"2,441,877.00","51,499,185.93","51,499,185.93",Communication,BD8DJ71,US83304A1060,New York Stock Exchange Inc.,United States,USD,USD,1
CTXS,CITRIX SYSTEMS INC,Equity,1.22,140.22,"357,573.00","50,138,886.06","50,138,886.06",Information Technology,2182553,US1773761002,NASDAQ,United States,USD,USD,1
PAYC,PAYCOM SOFTWARE INC,Equity,1.22,327.6,"152,509.00","49,961,948.40","49,961,948.40",Information Technology,BL95MY0,US70432V1026,New York Stock Exchange Inc.,United States,USD,USD,1
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,1.15,134.41,"351,858.00","47,293,233.78","47,293,233.78",Communication,2122117,US8740541094,NASDAQ,United States,USD,USD,1
TTD,TRADE DESK INC CLASS A,Equity,1.09,362.98,"123,848.00","44,954,347.04","44,954,347.04",Information Technology,BD8FDD1,US88339J1051,NASDAQ,United States,USD,USD,1
COUP,COUPA SOFTWARE INC,Equity,1.07,224.59,"195,373.00","43,878,822.07","43,878,822.07",Information Technology,BD87XR1,US22266L1061,NASDAQ,United States,USD,USD,1
TYL,TYLER TECHNOLOGIES INC,Equity,1.05,355.61,"121,208.00","43,102,776.88","43,102,776.88",Information Technology,2909644,US9022521051,New York Stock Exchange Inc.,United States,USD,USD,1
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Equity,0.99,59.76,"683,512.00","40,843,259.56","40,843,259.56",Information Technology,B58YSC6,US78467J1007,NASDAQ,United States,USD,USD,1
FICO,FAIR ISAAC CORP,Equity,0.92,419.51,"90,045.00","37,774,777.95","37,774,777.95",Information Technology,2330299,US3032501047,New York Stock Exchange Inc.,United States,USD,USD,1
NLOK,NORTONLIFELOCK INC,Equity,0.92,21.14,"1,782,571.00","37,683,550.94","37,683,550.94",Information Technology,BJN4XN5,US6687711084,NASDAQ,United States,USD,USD,1
OTEX,OPEN TEXT CORP,Equity,0.88,43.2,"839,978.00","36,287,049.60","36,287,049.60",Information Technology,2655657,CA6837151068,NASDAQ,Canada,USD,USD,1
VMW,VMWARE CLASS A INC,Equity,0.87,146.41,"245,242.00","35,905,881.22","35,905,881.22",Information Technology,B23SN61,US9285634021,New York Stock Exchange Inc.,United States,USD,USD,1
